trialid,trialid_critical,e,e.norm,n_back,ppid,run,event.order,event.x,critical,lead,fixation_number,gte.e,gte.norm,h_max
13_TRUE_10_5,13_TRUE_10_5_TRUE,1.61400583636324,0.379960490887315,TRUE,13,1,1,10,TRUE,TRUE,71,1.00702262934804,0.23706779985621,4.24782543204448
13_TRUE_1_TRUE,13_TRUE_1_TRUE_FALSE,1.26739966543056,0.298364347995478,TRUE,13,1,1,1,FALSE,TRUE,234,0.967287798004093,0.227713641598152,4.24782543204448
13_TRUE_2_3,13_TRUE_2_3_TRUE,1.77458865024604,0.417764025060684,TRUE,13,1,2,2,TRUE,TRUE,114,0.998950592886948,0.235167524858985,4.24782543204448
13_TRUE_3_TRUE,13_TRUE_3_TRUE_FALSE,1.28073890273247,0.301504598816823,TRUE,13,1,2,3,FALSE,TRUE,121,0.979822526904054,0.230664499419522,4.24782543204448
13_TRUE_4_5,13_TRUE_4_5_TRUE,1.36362396450278,0.321016950041299,TRUE,13,1,3,4,TRUE,TRUE,65,0.986873829705523,0.232324478840587,4.24782543204448
13_TRUE_5_3,13_TRUE_5_3_TRUE,1.53659444952936,0.361736722497515,TRUE,13,1,4,5,TRUE,TRUE,69,1.00814317242716,0.237331592024002,4.24782543204448
13_TRUE_6_TRUE,13_TRUE_6_TRUE_FALSE,1.59829557009463,0.376262065299932,TRUE,13,1,3,6,FALSE,TRUE,114,1.01975126316156,0.240064305719539,4.24782543204448
13_TRUE_7_FALSE,13_TRUE_7_FALSE_FALSE,1.54618534932557,0.363994560054553,TRUE,13,1,4,7,FALSE,FALSE,192,1.00316246110858,0.236159060007736,4.24782543204448
13_TRUE_8_FALSE,13_TRUE_8_FALSE_FALSE,1.81112720035078,0.426365732143348,TRUE,13,1,5,8,FALSE,FALSE,178,1.05287258449124,0.247861547357536,4.24782543204448
13_TRUE_9_TRUE,13_TRUE_9_TRUE_FALSE,1.65503282969061,0.389618842903825,TRUE,13,1,6,9,FALSE,TRUE,103,1.03707275099466,0.244142036339642,4.24782543204448
14_FALSE_10_FALSE,14_FALSE_10_FALSE_FALSE,1.48355306450512,0.34925000761886,FALSE,14,1,6,10,FALSE,FALSE,165,1.06069708350598,0.249703548433125,4.24782543204448
14_FALSE_1_TRUE,14_FALSE_1_TRUE_FALSE,1.25785267590412,0.296116847555742,FALSE,14,1,1,1,FALSE,TRUE,143,0.943494471855527,0.222112345940126,4.24782543204448
14_FALSE_2_TRUE,14_FALSE_2_TRUE_FALSE,1.55310010405625,0.365622394070168,FALSE,14,1,2,2,FALSE,TRUE,140,1.04482430321734,0.245966864677503,4.24782543204448
14_FALSE_3_TRUE,14_FALSE_3_TRUE_FALSE,1.26152051772381,0.296980310962694,FALSE,14,1,3,3,FALSE,TRUE,128,1.07894003876245,0.253998205911008,4.24782543204448
14_FALSE_4_3,14_FALSE_4_3_TRUE,1.21834851979263,0.286816993608478,FALSE,14,1,1,4,TRUE,TRUE,79,1.14971154990786,0.270658850816876,4.24782543204448
14_FALSE_5_FALSE,14_FALSE_5_FALSE_FALSE,1.50332475056855,0.353904550603201,FALSE,14,1,4,5,FALSE,FALSE,241,0.979547851610618,0.230599836853268,4.24782543204448
14_FALSE_6_5,14_FALSE_6_5_TRUE,1.53357444941842,0.361025770468235,FALSE,14,1,2,6,TRUE,TRUE,156,1.02154561090412,0.240486721322832,4.24782543204448
14_FALSE_7_TRUE,14_FALSE_7_TRUE_FALSE,1.55218565159634,0.365407118636999,FALSE,14,1,5,7,FALSE,TRUE,168,1.07506001664824,0.253084792171135,4.24782543204448
14_FALSE_8_3,14_FALSE_8_3_TRUE,1.7869767464744,0.420680363414635,FALSE,14,1,3,8,TRUE,TRUE,144,1.12298349851488,0.264366678075654,4.24782543204448
14_FALSE_9_5,14_FALSE_9_5_TRUE,1.73266088652402,0.407893618568522,FALSE,14,1,4,9,TRUE,TRUE,147,1.02004751360655,0.240134047390832,4.24782543204448
14_TRUE_10_5,14_TRUE_10_5_TRUE,1.16112000035921,0.273344566280908,TRUE,14,2,1,10,TRUE,TRUE,74,0.765673040173793,0.180250589960161,4.24782543204448
14_TRUE_1_FALSE,14_TRUE_1_FALSE_FALSE,0.453961727255781,0.106869205083432,TRUE,14,2,1,1,FALSE,FALSE,214,0.494302389818177,0.116365984837628,4.24782543204448
14_TRUE_2_3,14_TRUE_2_3_TRUE,0.648618259403651,0.152694189010369,TRUE,14,2,2,2,TRUE,TRUE,154,0.518398188452482,0.122038486925998,4.24782543204448
